R,G,B,cor
5539,6226,6629,2
5568,6281,7090,2
5648,6223,6579,2
5475,6216,6638,2
5647,6287,7018,2
5601,6493,7207,2
5531,6222,6613,2
5629,6240,7026,2
5636,5921,7177,2
5489,6211,6615,2
5612,6197,6989,2
5601,5941,6425,2
5430,6178,7249,2
5170,6158,6976,2
5618,6543,7244,2
5378,6163,7241,2
5362,6266,6859,2
5608,6566,6583,2
5469,6174,7240,2
5315,6202,6940,2
5663,5993,7065,2
5446,6150,7245,2
5404,6178,6947,2
5630,6516,6650,2
5381,6137,7239,2
5255,6176,6940,2
5626,6506,6690,2
5410,6203,7257,2
5186,6196,6919,2
5659,6538,7229,2
5362,6178,7262,2
5567,6204,6874,2
5632,6508,6732,2
5548,6132,7261,2
5526,6213,6956,2
5149,6527,6701,2
5380,6149,7294,2
5508,6291,6850,2
5184,5978,7205,2
5393,6171,7298,2
5570,6232,6920,2
5221,6564,6710,2
5352,6083,7323,2
5594,6244,6868,2
5250,6538,6747,2
5382,6060,7346,2
5184,6270,6771,2
12973,18910,17077,3
12390,18259,16683,3
20490,19152,16181,3
24202,18542,15049,3
21098,18641,16677,3
20856,17780,17461,3
24049,17764,18244,3
18816,19222,17084,3
22550,18259,16905,3
20520,19178,17586,3
23185,18016,15346,3
23340,18315,17825,3
21564,19056,16703,3
23696,18055,17239,3
21948,18542,17425,3
21664,19091,13635,3
24686,17772,17939,3
24643,18918,16703,3
21564,18970,16657,3
21108,18452,17802,3
23576,17667,17161,3
23603,18055,18016,3
21183,18910,17036,3
20961,18016,16238,3
20380,18682,16539,3
21151,18460,16939,3
24628,17742,17817,3
21732,19222,17232,3
24258,18157,16591,3
21323,18682,17749,3
24132,17749,16683,3
23576,16670,17490,3
21777,18732,16663,3
21642,17840,17303,3
21833,18165,17825,3
21388,17978,17105,3
24105,18724,17978,3
20846,18978,17154,3
23981,17970,16750,3
21108,18542,18102,3
21108,18331,17210,3
23885,18117,17660,3
21247,19310,16644,3
21366,18396,16033,3
21108,18724,17817,3
1238,19436,16076,3
24091,18526,15358,3
21161,18485,17690,3
20530,17154,16737,3
24146,18460,17637,3
23563,18800,17410,3
23431,17795,16301,3
21822,18323,17909,3
21709,18468,16558,3
23471,17878,17787,3
18666,19248,17338,3
21388,18117,14428,3
21290,18071,16783,3
21542,17556,14883,3
22052,18420,16737,3
21913,18388,15098,3
24105,18783,17063,3
21498,18995,16797,3
21631,18716,17396,3
23576,18125,16611,3
21765,18918,16008,3
22203,18707,17022,3
23083,19117,16591,3
23032,18927,17637,3
23327,17346,17112,3
22121,19859,17154,3
22844,18918,15785,3
